"POA_CODE_2016","POA_NUMBER_2016","POA_NAME_2016","AREA_ALBERS_SQKM"
"0800",800,"0800",3.1734
"0810",810,"0810",23.7902
"0812",812,"0812",35.8899
"0815",815,"0815",0.6381
"0820",820,"0820",39.0462
"0822",822,"0822",150783.0188
"0828",828,"0828",28.6532
"0829",829,"0829",44.8402
"0830",830,"0830",235.004
"0832",832,"0832",19.7272
"0834",834,"0834",32.6301
"0835",835,"0835",76.8403
"0836",836,"0836",130.9305
"0837",837,"0837",118.1157
"0838",838,"0838",86.3366
"0839",839,"0839",1.1346
"0840",840,"0840",291.4476
"0841",841,"0841",142.2064
"0845",845,"0845",115.696
"0846",846,"0846",146.7377
"0847",847,"0847",402.0523
"0850",850,"0850",551.1508
"0852",852,"0852",441673.019
"0853",853,"0853",106.2851
"0854",854,"0854",12.5633
"0860",860,"0860",42.0605
"0862",862,"0862",117526.0241
"0870",870,"0870",59.6122
"0872",872,"0872",970496.8141
"0873",873,"0873",172.5253
"0874",874,"0874",72.1518
"0875",875,"0875",29.0124
"0880",880,"0880",88.9707
"0885",885,"0885",2.7429
"0886",886,"0886",13.5083
"2000",2000,"2000",4.2873
"2006",2006,"2006",0.678
"2007",2007,"2007",0.5588
"2008",2008,"2008",0.845
"2009",2009,"2009",0.9325
"2010",2010,"2010",2.1733
"2011",2011,"2011",1.4009
"2015",2015,"2015",4.2156
"2016",2016,"2016",1.1717
"2017",2017,"2017",1.9386
"2018",2018,"2018",3.9305
"2019",2019,"2019",6.7991
"2020",2020,"2020",11.9607
"2021",2021,"2021",5.7186
"2022",2022,"2022",1.9227
"2023",2023,"2023",2.3732
"2024",2024,"2024",1.9245
"2025",2025,"2025",1.2307
"2026",2026,"2026",3.6555
"2027",2027,"2027",1.3761
"2028",2028,"2028",0.7921
"2029",2029,"2029",2.5285
"2030",2030,"2030",4.663
"2031",2031,"2031",6.0941
"2032",2032,"2032",2.475
"2033",2033,"2033",2.2349
"2034",2034,"2034",3.0497
"2035",2035,"2035",8.1207
"2036",2036,"2036",15.7133
"2037",2037,"2037",2.1373
"2038",2038,"2038",1.4931
"2039",2039,"2039",1.8337
"2040",2040,"2040",4.754
"2041",2041,"2041",2.4666
"2042",2042,"2042",2.0445
"2043",2043,"2043",0.8077
"2044",2044,"2044",3.8539
"2045",2045,"2045",2.3828
"2046",2046,"2046",6.0148
"2047",2047,"2047",2.3101
"2048",2048,"2048",1.218
"2049",2049,"2049",1.929
"2050",2050,"2050",0.8252
"2052",2052,"2052",0.4341
"2060",2060,"2060",2.6878
"2061",2061,"2061",0.6317
"2062",2062,"2062",1.5527
"2063",2063,"2063",2.7281
"2064",2064,"2064",2.5348
"2065",2065,"2065",5.6761
"2066",2066,"2066",9.579
"2067",2067,"2067",5.8197
"2068",2068,"2068",5.6655
"2069",2069,"2069",7.5303
"2070",2070,"2070",7.4617
"2071",2071,"2071",7.822
"2072",2072,"2072",3.8097
"2073",2073,"2073",10.2304
"2074",2074,"2074",22.0151
"2075",2075,"2075",17.7427
"2076",2076,"2076",15.8484
"2077",2077,"2077",22.8665
"2079",2079,"2079",11.0622
"2080",2080,"2080",10.5767
"2081",2081,"2081",40.1939
"2082",2082,"2082",9.6876
"2083",2083,"2083",45.774
"2084",2084,"2084",107.3731
"2085",2085,"2085",16.2026
"2086",2086,"2086",8.0259
"2087",2087,"2087",8.9311
"2088",2088,"2088",8.6503
"2089",2089,"2089",1.5105
"2090",2090,"2090",2.0586
"2092",2092,"2092",3.1079
"2093",2093,"2093",7.529
"2094",2094,"2094",1.1683
"2095",2095,"2095",5.5668
"2096",2096,"2096",3.4809
"2097",2097,"2097",4.7261
"2099",2099,"2099",12.2704
"2100",2100,"2100",19.8084
"2101",2101,"2101",26.6961
"2102",2102,"2102",4.1945
"2103",2103,"2103",4.5559
"2104",2104,"2104",3.7398
"2105",2105,"2105",2.1888
"2106",2106,"2106",3.8119
"2107",2107,"2107",7.8757
"2108",2108,"2108",2.9542
"2109",2109,"2109",1.755
"2110",2110,"2110",4.3304
"2111",2111,"2111",4.7044
"2112",2112,"2112",9.3136
"2113",2113,"2113",11.461
"2114",2114,"2114",7.3639
"2115",2115,"2115",3.9346
"2116",2116,"2116",3.7996
"2117",2117,"2117",7.1247
"2118",2118,"2118",8.507
"2119",2119,"2119",6.7407
"2120",2120,"2120",13.8138
"2121",2121,"2121",9.2013
"2122",2122,"2122",9.0577
"2123",2123,"2123",0.0218
"2125",2125,"2125",9.2916
"2126",2126,"2126",8.2603
"2127",2127,"2127",8.1291
"2128",2128,"2128",2.7
"2129",2129,"2129",0.4663
"2130",2130,"2130",1.2031
"2131",2131,"2131",3.4143
"2132",2132,"2132",2.4354
"2133",2133,"2133",2.5503
"2134",2134,"2134",2.4454
"2135",2135,"2135",6.5375
"2136",2136,"2136",3.4638
"2137",2137,"2137",7.355
"2138",2138,"2138",3.3902
"2139",2139,"2139",0.391
"2140",2140,"2140",3.2826
"2141",2141,"2141",11.9477
"2142",2142,"2142",11.0016
"2143",2143,"2143",4.3104
"2144",2144,"2144",8.5637
"2145",2145,"2145",26.3676
"2146",2146,"2146",6.0077
"2147",2147,"2147",15.9973
"2148",2148,"2148",38.8818
"2150",2150,"2150",5.8472
"2151",2151,"2151",10.7334
"2152",2152,"2152",4.2858
"2153",2153,"2153",24.5421
"2154",2154,"2154",18.8102
"2155",2155,"2155",35.1795
"2156",2156,"2156",62.9548
"2157",2157,"2157",148.4858
"2158",2158,"2158",41.7948
"2159",2159,"2159",127.4464
"2160",2160,"2160",8.3971
"2161",2161,"2161",11.2311
"2162",2162,"2162",5.7908
"2163",2163,"2163",6.3533
"2164",2164,"2164",20.5158
"2165",2165,"2165",11.12
"2166",2166,"2166",15.2543
"2167",2167,"2167",6.9946
"2168",2168,"2168",12.8684
"2170",2170,"2170",54.3191
"2171",2171,"2171",21.5329
"2172",2172,"2172",3.6787
"2173",2173,"2173",192.8683
"2174",2174,"2174",6.0563
"2175",2175,"2175",21.9683
"2176",2176,"2176",19.8467
"2177",2177,"2177",5.1959
"2178",2178,"2178",54.3241
"2179",2179,"2179",36.4744
"2190",2190,"2190",9.7386
"2191",2191,"2191",1.7826
"2192",2192,"2192",2.7309
"2193",2193,"2193",4.1959
"2194",2194,"2194",3.3734
"2195",2195,"2195",3.5488
"2196",2196,"2196",7.0679
"2197",2197,"2197",2.9286
"2198",2198,"2198",3.3233
"2199",2199,"2199",4.618
"2200",2200,"2200",14.1069
"2203",2203,"2203",2.0929
"2204",2204,"2204",5.7903
"2205",2205,"2205",4.2229
"2206",2206,"2206",5.9786
"2207",2207,"2207",7.2242
"2208",2208,"2208",4.459
"2209",2209,"2209",4.2499
"2210",2210,"2210",11.0967
"2211",2211,"2211",7.4064
"2212",2212,"2212",6.2455
"2213",2213,"2213",10.037
"2214",2214,"2214",5.3711
"2216",2216,"2216",5.5782
"2217",2217,"2217",6.2613
"2218",2218,"2218",2.6489
"2219",2219,"2219",3.7807
"2220",2220,"2220",5.1734
"2221",2221,"2221",5.3879
"2222",2222,"2222",2.5163
"2223",2223,"2223",7.253
"2224",2224,"2224",4.7012
"2225",2225,"2225",2.1022
"2226",2226,"2226",5.2222
"2227",2227,"2227",4.5993
"2228",2228,"2228",5.914
"2229",2229,"2229",10.8128
"2230",2230,"2230",9.1909
"2231",2231,"2231",19.1994
"2232",2232,"2232",14.4108
"2233",2233,"2233",179.9875
"2234",2234,"2234",39.7249
"2250",2250,"2250",690.9284
