"POA_CODE_2016","POA_NUMBER_2016","POA_NAME_2016","AREA_ALBERS_SQKM"
"5000",5000,"5000",10.2519
"5005",5005,"5005",0.2305
"5006",5006,"5006",5.0909
"5007",5007,"5007",3.6055
"5008",5008,"5008",6.1854
"5009",5009,"5009",3.4541
"5010",5010,"5010",5.8508
"5011",5011,"5011",5.5261
"5012",5012,"5012",4.3751
"5013",5013,"5013",14.5776
"5014",5014,"5014",6.1186
"5015",5015,"5015",7.2668
"5016",5016,"5016",4.8979
"5017",5017,"5017",9.5023
"5018",5018,"5018",3.1252
"5019",5019,"5019",3.9321
"5020",5020,"5020",1.5622
"5021",5021,"5021",4.3836
"5022",5022,"5022",7.7915
"5023",5023,"5023",7.1329
"5024",5024,"5024",7.9124
"5025",5025,"5025",3.9453
"5031",5031,"5031",5.695
"5032",5032,"5032",5.702
"5033",5033,"5033",3.651
"5034",5034,"5034",4.045
"5035",5035,"5035",3.0222
"5037",5037,"5037",4.3684
"5038",5038,"5038",5.7331
"5039",5039,"5039",4.6336
"5040",5040,"5040",1.7647
"5041",5041,"5041",6.2103
"5042",5042,"5042",8.6535
"5043",5043,"5043",8.2392
"5044",5044,"5044",4.1037
"5045",5045,"5045",5.7359
"5046",5046,"5046",4.0234
"5047",5047,"5047",4.1823
"5048",5048,"5048",5.8082
"5049",5049,"5049",9.1543
"5050",5050,"5050",6.5603
"5051",5051,"5051",17.6845
"5052",5052,"5052",16.0248
"5061",5061,"5061",4.0391
"5062",5062,"5062",16.5077
"5063",5063,"5063",3.8585
"5064",5064,"5064",7.8875
"5065",5065,"5065",4.2878
"5066",5066,"5066",9.0577
"5067",5067,"5067",3.9255
"5068",5068,"5068",5.0515
"5069",5069,"5069",3.8454
"5070",5070,"5070",6.2151
"5072",5072,"5072",14.2129
"5073",5073,"5073",7.5046
"5074",5074,"5074",5.6525
"5075",5075,"5075",5.6066
"5076",5076,"5076",10.6715
"5081",5081,"5081",4.1957
"5082",5082,"5082",5.6358
"5083",5083,"5083",2.8234
"5084",5084,"5084",4.861
"5085",5085,"5085",8.501
"5086",5086,"5086",7.0281
"5087",5087,"5087",5.0299
"5088",5088,"5088",1.893
"5089",5089,"5089",4.3298
"5090",5090,"5090",5.0538
"5091",5091,"5091",8.5918
"5092",5092,"5092",9.4493
"5093",5093,"5093",4.3878
"5094",5094,"5094",30.8255
"5095",5095,"5095",11.5079
"5096",5096,"5096",9.5243
"5097",5097,"5097",6.991
"5098",5098,"5098",6.1001
"5106",5106,"5106",6.6876
"5107",5107,"5107",7.921
"5108",5108,"5108",18.3572
"5109",5109,"5109",16.1962
"5110",5110,"5110",65.6776
"5111",5111,"5111",18.7439
"5112",5112,"5112",14.8614
"5113",5113,"5113",12.5056
"5114",5114,"5114",152.8466
"5115",5115,"5115",19.7061
"5116",5116,"5116",23.5589
"5117",5117,"5117",14.0542
"5118",5118,"5118",166.9375
"5120",5120,"5120",86.1985
"5121",5121,"5121",32.9719
"5125",5125,"5125",23.6636
"5126",5126,"5126",5.8067
"5127",5127,"5127",4.4199
"5131",5131,"5131",21.3011
"5132",5132,"5132",19.7554
"5133",5133,"5133",14.1
"5134",5134,"5134",36.5354
"5136",5136,"5136",7.7715
"5137",5137,"5137",8.2627
"5138",5138,"5138",11.9523
"5139",5139,"5139",9.345
"5140",5140,"5140",3.7167
"5141",5141,"5141",13.1923
"5142",5142,"5142",3.4725
"5144",5144,"5144",10.2028
"5150",5150,"5150",1.9558
"5151",5151,"5151",4.0978
"5152",5152,"5152",32.833
"5153",5153,"5153",176.1433
"5154",5154,"5154",8.4056
"5155",5155,"5155",15.0757
"5156",5156,"5156",7.3237
"5157",5157,"5157",223.6686
"5158",5158,"5158",23.8312
"5159",5159,"5159",37.4231
"5160",5160,"5160",9.5848
"5161",5161,"5161",7.7053
"5162",5162,"5162",19.6861
"5163",5163,"5163",34.6199
"5164",5164,"5164",3.1934
"5165",5165,"5165",2.8639
"5166",5166,"5166",1.8617
"5167",5167,"5167",4.2534
"5168",5168,"5168",9.0287
"5169",5169,"5169",15.2726
"5170",5170,"5170",6.5506
"5171",5171,"5171",115.916
"5172",5172,"5172",170.8569
"5173",5173,"5173",29.1294
"5174",5174,"5174",52.345
"5201",5201,"5201",139.5273
"5202",5202,"5202",159.1826
"5203",5203,"5203",211.4116
"5204",5204,"5204",296.6796
"5210",5210,"5210",90.6108
"5211",5211,"5211",459.0188
"5212",5212,"5212",21.2672
"5213",5213,"5213",35.4559
"5214",5214,"5214",272.0239
"5220",5220,"5220",2.8044
"5221",5221,"5221",38.5042
"5222",5222,"5222",385.6595
"5223",5223,"5223",3973.7629
"5231",5231,"5231",99.4012
"5232",5232,"5232",42.9974
"5233",5233,"5233",77.5345
"5234",5234,"5234",43.6525
"5235",5235,"5235",383.4232
"5236",5236,"5236",129.8575
"5237",5237,"5237",198.108
"5238",5238,"5238",1487.1244
"5240",5240,"5240",22.0768
"5241",5241,"5241",26.1921
"5242",5242,"5242",31.6068
"5243",5243,"5243",26.981
"5244",5244,"5244",223.481
"5245",5245,"5245",31.6551
"5250",5250,"5250",15.1988
"5251",5251,"5251",102.369
"5252",5252,"5252",115.3918
"5253",5253,"5253",874.8933
"5254",5254,"5254",666.2306
"5255",5255,"5255",818.4928
"5256",5256,"5256",180.1769
"5259",5259,"5259",1808.2586
"5260",5260,"5260",285.3978
"5261",5261,"5261",1136.2253
"5262",5262,"5262",486.0558
"5263",5263,"5263",110.6966
"5264",5264,"5264",1613.5263
"5265",5265,"5265",1080.5249
"5266",5266,"5266",2013.9485
"5267",5267,"5267",3257.9967
"5268",5268,"5268",1753.5089
"5269",5269,"5269",286.9141
"5270",5270,"5270",531.5749
"5271",5271,"5271",2810.9238
"5272",5272,"5272",1923.2811
"5273",5273,"5273",316.5938
"5275",5275,"5275",3123.7221
"5276",5276,"5276",543.9247
"5277",5277,"5277",1201.6921
"5278",5278,"5278",255.9375
"5279",5279,"5279",523.2743
"5280",5280,"5280",1958.323
"5290",5290,"5290",26.7965
"5291",5291,"5291",1741.3724
"5301",5301,"5301",1980.3562
"5302",5302,"5302",4004.2821
"5303",5303,"5303",739.8952
"5304",5304,"5304",1682.473
"5306",5306,"5306",314.7244
"5307",5307,"5307",1073.8818
"5308",5308,"5308",1286.2451
"5309",5309,"5309",1288.1845
"5310",5310,"5310",443.0505
"5311",5311,"5311",3234.6573
"5320",5320,"5320",1820.4802
"5321",5321,"5321",176.2185
"5322",5322,"5322",91.681
"5330",5330,"5330",1842.3889
"5331",5331,"5331",83.815
"5332",5332,"5332",292.1294
"5333",5333,"5333",720.6351
"5340",5340,"5340",679.1132
"5341",5341,"5341",2497.386
"5342",5342,"5342",213.2351
"5343",5343,"5343",202.1922
"5344",5344,"5344",31.468
"5345",5345,"5345",205.3057
"5346",5346,"5346",15.3753
"5350",5350,"5350",32.1523
"5351",5351,"5351",284.0785
"5352",5352,"5352",108.5768
"5353",5353,"5353",1027.7626
"5354",5354,"5354",891.7726
"5355",5355,"5355",158.1546
"5356",5356,"5356",666.0608
"5357",5357,"5357",1117.9594
"5360",5360,"5360",34.4409
"5371",5371,"5371",112.6509
"5372",5372,"5372",88.8785
"5373",5373,"5373",453.1664
"5374",5374,"5374",1373.3476
"5381",5381,"5381",652.6147
"5400",5400,"5400",171.4653
"5401",5401,"5401",269.0932
"5410",5410,"5410",88.1949
"5411",5411,"5411",102.5527
"5412",5412,"5412",218.3209
"5413",5413,"5413",502.8396
"5414",5414,"5414",93.3548
"5415",5415,"5415",130.8943
"5416",5416,"5416",167.9489
"5417",5417,"5417",17230.4585
"5418",5418,"5418",546.1272
"5419",5419,"5419",1432.8203
"5420",5420,"5420",279.6993
"5421",5421,"5421",318.5731
"5422",5422,"5422",3115.844
"5431",5431,"5431",4000.9125
"5432",5432,"5432",8075.8495
"5433",5433,"5433",1523.8032
"5434",5434,"5434",9367.7992
"5440",5440,"5440",48669.2492
"5451",5451,"5451",141.8682
"5452",5452,"5452",70.8572
"5453",5453,"5453",544.4628
"5454",5454,"5454",545.5774
"5455",5455,"5455",92.2952
"5460",5460,"5460",313.4523
"5461",5461,"5461",871.5763
"5462",5462,"5462",159.1215
"5464",5464,"5464",812.8317
"5470",5470,"5470",180.8056
"5471",5471,"5471",127.8191
"5472",5472,"5472",172.3594
"5473",5473,"5473",204.7636
"5480",5480,"5480",256.6451
"5481",5481,"5481",352.449
"5482",5482,"5482",440.7632
"5483",5483,"5483",328.6549
"5485",5485,"5485",601.7359
"5490",5490,"5490",262.8676
"5491",5491,"5491",777.598
"5493",5493,"5493",18.8997
"5495",5495,"5495",548.9596
"5501",5501,"5501",655.7071
"5502",5502,"5502",356.5446
"5510",5510,"5510",128.0996
"5520",5520,"5520",516.7301
"5521",5521,"5521",157.8364
"5522",5522,"5522",378.4738
"5523",5523,"5523",966.8183
"5540",5540,"5540",746.8247
"5550",5550,"5550",594.0299
"5552",5552,"5552",585.505
"5554",5554,"5554",431.7849
"5555",5555,"5555",605.9659
"5556",5556,"5556",146.5314
"5558",5558,"5558",429.9849
"5560",5560,"5560",363.8128
"5570",5570,"5570",199.1415
"5571",5571,"5571",523.3677
"5572",5572,"5572",145.011
"5573",5573,"5573",1116.7128
"5575",5575,"5575",1367.3235
"5576",5576,"5576",474.9031
"5577",5577,"5577",958.4969
"5580",5580,"5580",303.4677
"5581",5581,"5581",78.0889
"5582",5582,"5582",60.7914
"5583",5583,"5583",73.8878
"5600",5600,"5600",4440.9454
"5601",5601,"5601",1101.2389
"5602",5602,"5602",3268.8786
"5603",5603,"5603",1596.9115
"5604",5604,"5604",268.3535
"5605",5605,"5605",593.6214
"5606",5606,"5606",88.5758
"5607",5607,"5607",6379.9225
"5608",5608,"5608",14.1814
"5609",5609,"5609",3.0669
"5630",5630,"5630",261.0052
"5631",5631,"5631",683.4725
"5632",5632,"5632",839.6315
"5633",5633,"5633",1180.1994
"5640",5640,"5640",1185.2382
"5641",5641,"5641",5586.1415
"5642",5642,"5642",1840.0653
"5650",5650,"5650",1115.3651
"5651",5651,"5651",393.2341
"5652",5652,"5652",844.3886
"5653",5653,"5653",482.186
"5654",5654,"5654",2855.7105
"5655",5655,"5655",2572.3108
"5660",5660,"5660",465.7152
"5661",5661,"5661",1186.1577
"5670",5670,"5670",3448.4145
"5671",5671,"5671",1024.5239
"5680",5680,"5680",6743.6481
"5690",5690,"5690",191157.7691
"5700",5700,"5700",467.8028
"5701",5701,"5701",145.4637
"5710",5710,"5710",68.0934
"5713",5713,"5713",13811.9774
"5715",5715,"5715",7906.7542
"5717",5717,"5717",27097.7526
"5719",5719,"5719",36474.6506
"5720",5720,"5720",23480.1823
"5722",5722,"5722",23.8165
"5723",5723,"5723",78520.4522
"5724",5724,"5724",57785.322
"5725",5725,"5725",288.3608
"5730",5730,"5730",5245.9302
"5731",5731,"5731",70900.5723
"5732",5732,"5732",10976.0128
"5733",5733,"5733",68876.0855
"5734",5734,"5734",65518.1629
"5950",5950,"5950",7.2952
"5960",5960,"5960",8.8253
