"POA_CODE_2016","POA_NUMBER_2016","POA_NAME_2016","AREA_ALBERS_SQKM"
"6000",6000,"6000",4.5634
"6003",6003,"6003",0.8386
"6004",6004,"6004",3.2048
"6005",6005,"6005",6.3714
"6006",6006,"6006",3.0669
"6007",6007,"6007",2.9761
"6008",6008,"6008",7.1124
"6009",6009,"6009",9.7499
"6010",6010,"6010",15.4326
"6011",6011,"6011",4.8188
"6012",6012,"6012",4.3472
"6014",6014,"6014",9.5601
"6015",6015,"6015",9.8264
"6016",6016,"6016",3.1658
"6017",6017,"6017",8.011
"6018",6018,"6018",18.8816
"6019",6019,"6019",9.3522
"6020",6020,"6020",12.8371
"6021",6021,"6021",11.9028
"6022",6022,"6022",3.3065
"6023",6023,"6023",7.4473
"6024",6024,"6024",8.5644
"6025",6025,"6025",19.6832
"6026",6026,"6026",15.4191
"6027",6027,"6027",32.6881
"6028",6028,"6028",11.7935
"6029",6029,"6029",2.3777
"6030",6030,"6030",24.0067
"6031",6031,"6031",41.7401
"6032",6032,"6032",40.0377
"6033",6033,"6033",19.0897
"6034",6034,"6034",15.4898
"6035",6035,"6035",218.5206
"6036",6036,"6036",9.0069
"6037",6037,"6037",51.6257
"6038",6038,"6038",17.1744
"6041",6041,"6041",268.0224
"6042",6042,"6042",12.8435
"6043",6043,"6043",221.2678
"6044",6044,"6044",654.143
"6050",6050,"6050",6.3582
"6051",6051,"6051",5.0046
"6052",6052,"6052",5.1575
"6053",6053,"6053",9.8453
"6054",6054,"6054",13.2011
"6055",6055,"6055",58.81
"6056",6056,"6056",102.5402
"6057",6057,"6057",18.718
"6058",6058,"6058",17.0785
"6059",6059,"6059",10.7402
"6060",6060,"6060",8.4539
"6061",6061,"6061",16.2742
"6062",6062,"6062",17.1502
"6063",6063,"6063",9.1646
"6064",6064,"6064",15.5884
"6065",6065,"6065",49.6904
"6066",6066,"6066",8.8563
"6067",6067,"6067",15.6755
"6068",6068,"6068",27.8788
"6069",6069,"6069",74.1533
"6070",6070,"6070",12.0621
"6071",6071,"6071",44.5963
"6072",6072,"6072",5.8633
"6073",6073,"6073",31.6307
"6074",6074,"6074",169.4161
"6076",6076,"6076",245.335
"6077",6077,"6077",33.4443
"6078",6078,"6078",146.3766
"6079",6079,"6079",100.3394
"6081",6081,"6081",37.4572
"6082",6082,"6082",76.1251
"6083",6083,"6083",507.9764
"6084",6084,"6084",635.2296
"6090",6090,"6090",6.5793
"6100",6100,"6100",7.5755
"6101",6101,"6101",6.2709
"6102",6102,"6102",7.1731
"6103",6103,"6103",3.3406
"6104",6104,"6104",10.7948
"6105",6105,"6105",32.8388
"6106",6106,"6106",8.314
"6107",6107,"6107",37.5338
"6108",6108,"6108",11.591
"6109",6109,"6109",24.7842
"6110",6110,"6110",62.0301
"6111",6111,"6111",457.6831
"6112",6112,"6112",135.3591
"6121",6121,"6121",88.0009
"6122",6122,"6122",123.3247
"6123",6123,"6123",35.8428
"6124",6124,"6124",256.3869
"6125",6125,"6125",220.6073
"6126",6126,"6126",180.6011
"6147",6147,"6147",8.685
"6148",6148,"6148",9.6115
"6149",6149,"6149",11.6173
"6150",6150,"6150",9.6981
"6151",6151,"6151",7.7565
"6152",6152,"6152",12.5505
"6153",6153,"6153",9.126
"6154",6154,"6154",5.533
"6155",6155,"6155",34.0901
"6156",6156,"6156",7.5866
"6157",6157,"6157",6.2652
"6158",6158,"6158",3.1384
"6159",6159,"6159",3.3362
"6160",6160,"6160",5.5311
"6161",6161,"6161",19.1817
"6162",6162,"6162",5.4319
"6163",6163,"6163",42.7309
"6164",6164,"6164",78.462
"6165",6165,"6165",18.2523
"6166",6166,"6166",35.3557
"6167",6167,"6167",76.6401
"6168",6168,"6168",49.0225
"6169",6169,"6169",31.3418
"6170",6170,"6170",25.1197
"6171",6171,"6171",87.3148
"6172",6172,"6172",21.2107
"6173",6173,"6173",6.5448
"6174",6174,"6174",4.4148
"6175",6175,"6175",3.6112
"6176",6176,"6176",32.2106
"6180",6180,"6180",13.5708
"6181",6181,"6181",9.052
"6182",6182,"6182",22.0186
"6207",6207,"6207",540.2147
"6208",6208,"6208",485.6095
"6209",6209,"6209",22.554
"6210",6210,"6210",63.4011
"6211",6211,"6211",98.0635
"6213",6213,"6213",498.195
"6214",6214,"6214",144.2855
"6215",6215,"6215",832.0899
"6218",6218,"6218",91.9458
"6220",6220,"6220",861.5389
"6221",6221,"6221",317.5631
"6223",6223,"6223",70.7741
"6224",6224,"6224",120.5191
"6225",6225,"6225",2920.9359
"6226",6226,"6226",95.065
"6227",6227,"6227",40.4442
"6228",6228,"6228",31.6676
"6229",6229,"6229",18.6645
"6230",6230,"6230",100.5368
"6232",6232,"6232",8.2782
"6233",6233,"6233",170.818
"6236",6236,"6236",432.335
"6237",6237,"6237",289.5948
"6239",6239,"6239",553.2523
"6240",6240,"6240",44.7333
"6243",6243,"6243",243.294
"6244",6244,"6244",2363.767
"6251",6251,"6251",174.28
"6252",6252,"6252",87.8886
"6253",6253,"6253",264.8321
"6254",6254,"6254",71.8219
"6255",6255,"6255",731.2648
"6256",6256,"6256",818.7282
"6258",6258,"6258",2766.2331
"6260",6260,"6260",1590.9793
"6262",6262,"6262",1708.5685
"6271",6271,"6271",208.8099
"6275",6275,"6275",2607.692
"6280",6280,"6280",871.7292
"6281",6281,"6281",120.6492
"6282",6282,"6282",94.6185
"6284",6284,"6284",596.2035
"6285",6285,"6285",843.1063
"6286",6286,"6286",311.6193
"6288",6288,"6288",388.093
"6290",6290,"6290",154.0756
"6302",6302,"6302",2757.3969
"6304",6304,"6304",1744.7142
"6306",6306,"6306",2015.1931
"6308",6308,"6308",2424.0898
"6309",6309,"6309",444.0201
"6311",6311,"6311",751.3169
"6312",6312,"6312",1299.4421
"6313",6313,"6313",542.3908
"6315",6315,"6315",2699.8651
"6316",6316,"6316",956.3503
"6317",6317,"6317",1822.974
"6318",6318,"6318",1172.9449
"6320",6320,"6320",1436.7136
"6321",6321,"6321",1207.8298
"6322",6322,"6322",414.6848
"6323",6323,"6323",388.3289
"6324",6324,"6324",2717.4273
"6326",6326,"6326",543.5276
"6327",6327,"6327",270.28
"6328",6328,"6328",2461.7753
"6330",6330,"6330",1428.1992
"6333",6333,"6333",1859.8488
"6335",6335,"6335",1018.5857
"6336",6336,"6336",2355.7587
"6337",6337,"6337",3403.7417
"6338",6338,"6338",3734.6508
"6341",6341,"6341",1963.9221
"6343",6343,"6343",3660.6597
"6346",6346,"6346",7273.0478
"6348",6348,"6348",538.349
"6350",6350,"6350",485.7632
"6351",6351,"6351",394.237
"6352",6352,"6352",769.5016
"6353",6353,"6353",3390.9954
"6355",6355,"6355",6019.582
"6356",6356,"6356",3563.1938
"6357",6357,"6357",877.6261
"6358",6358,"6358",1051.1574
"6359",6359,"6359",5611.9857
"6361",6361,"6361",448.7822
"6363",6363,"6363",805.2948
"6365",6365,"6365",1848.4221
"6367",6367,"6367",1186.2881
"6368",6368,"6368",920.8954
"6369",6369,"6369",2171.4935
"6370",6370,"6370",834.9454
"6372",6372,"6372",384.8013
"6373",6373,"6373",559.0948
"6375",6375,"6375",1708.1362
"6383",6383,"6383",1797.2486
"6384",6384,"6384",219.6783
"6385",6385,"6385",342.9449
"6386",6386,"6386",534.7377
"6390",6390,"6390",2687.8869
"6391",6391,"6391",2290.0975
"6392",6392,"6392",1047.5695
"6393",6393,"6393",329.2705
"6394",6394,"6394",1568.5913
"6395",6395,"6395",1816.9031
"6396",6396,"6396",1391.3439
"6397",6397,"6397",882.6376
"6398",6398,"6398",1646.3684
"6401",6401,"6401",1286.1945
"6403",6403,"6403",60.0857
"6405",6405,"6405",750.1065
"6407",6407,"6407",1112.3393
"6409",6409,"6409",1101.692
"6410",6410,"6410",982.8496
"6411",6411,"6411",487.8053
"6412",6412,"6412",444.7781
"6413",6413,"6413",238.0088
"6414",6414,"6414",184.6471
"6415",6415,"6415",1687.8161
"6418",6418,"6418",1107.8771
"6419",6419,"6419",358.3108
"6420",6420,"6420",978.6081
"6421",6421,"6421",1246.3928
"6422",6422,"6422",528.0006
"6423",6423,"6423",1234.0873
"6424",6424,"6424",1623.2244
"6425",6425,"6425",1030.6138
"6426",6426,"6426",19004.6681
"6427",6427,"6427",527.564
"6428",6428,"6428",380.8239
"6429",6429,"6429",23101.1675
"6430",6430,"6430",1218.1394
"6431",6431,"6431",106120.1588
"6432",6432,"6432",17.0965
"6434",6434,"6434",80288.4662
"6436",6436,"6436",34758.7851
"6437",6437,"6437",11582.6005
"6438",6438,"6438",20332.4557
"6440",6440,"6440",179984.601
"6442",6442,"6442",225.8115
"6443",6443,"6443",99855.7489
"6445",6445,"6445",9695.4814
"6446",6446,"6446",1481.5702
"6447",6447,"6447",3582.9216
"6448",6448,"6448",734.2044
"6450",6450,"6450",13847.5248
"6452",6452,"6452",18504.6799
"6460",6460,"6460",941.4056
"6461",6461,"6461",648.8583
"6462",6462,"6462",797.0484
"6463",6463,"6463",174.9271
"6465",6465,"6465",417.1784
"6466",6466,"6466",449.0598
"6467",6467,"6467",342.5448
"6468",6468,"6468",3111.7785
"6470",6470,"6470",577.5903
"6472",6472,"6472",7400.6898
"6473",6473,"6473",1180.0273
"6475",6475,"6475",2254.7228
"6476",6476,"6476",806.4864
"6477",6477,"6477",1248.1256
"6479",6479,"6479",3965.8848
"6480",6480,"6480",242.0522
"6484",6484,"6484",8242.6947
"6485",6485,"6485",1419.5614
"6487",6487,"6487",463.0481
"6488",6488,"6488",615.3741
"6489",6489,"6489",572.7821
"6490",6490,"6490",1166.0245
"6501",6501,"6501",215.9524
"6502",6502,"6502",464.7474
"6503",6503,"6503",2267.3791
